Period,Trades,WinRate%,AvgR,TotalR,PF,MaxDD_R,NetProfit$,Return%,MaxDD%,Instrument,OOS_Pass
IS,210,80.0,0.3106,65.224,1.781,-22.204,82764.0,82.76,-40.65,EURUSD,
OOS,96,78.12,0.459,44.064,2.738,-3.422,54520.0,54.52,-5.26,EURUSD,PASS
IS,182,78.57,0.3992,72.648,2.368,-8.667,104529.0,104.53,-15.96,GBPUSD,
OOS,73,71.23,0.2514,18.355,1.769,-4.976,19706.0,19.71,-5.61,GBPUSD,PASS
IS,213,80.28,0.4131,87.993,2.512,-8.453,137590.0,137.59,-19.4,USDJPY,
OOS,91,79.12,0.5879,53.503,3.468,-2.252,69450.0,69.45,-3.29,USDJPY,PASS
IS,207,79.23,0.3337,69.074,2.021,-12.74,96524.0,96.52,-14.36,XAUUSD,
OOS,81,72.84,0.4526,36.66,2.285,-3.608,43208.0,43.21,-4.74,XAUUSD,PASS
IS,137,76.64,0.375,51.37,2.392,-3.544,66053.0,66.05,-5.13,NAS100,
OOS,85,84.71,0.593,50.402,4.37,-3.933,64807.0,64.81,-4.91,NAS100,PASS
IS,163,78.53,0.5112,83.32,3.006,-5.279,127778.0,127.78,-10.05,US30,
OOS,61,83.61,0.4522,27.583,2.051,-15.46,29512.0,29.51,-18.27,US30,PASS
